Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
124.476,30.644423,30.276201,29.885977,29.857235,,,,,,
124.826,30.641863,30.276356,29.882734,29.858971,,,,,,
125.189,30.649635,30.297928,29.903419,29.873772,,,,,,
125.543,30.633856,30.279196,29.888971,29.863852,,,,,,
125.901,30.636597,30.271988,29.894205,29.862295,,,,,,
126.249,30.619783,30.268278,29.889814,29.854282,,,,,,
126.599,30.604649,30.256071,29.876919,29.848402,,,,,,
126.958,30.607121,30.256964,29.88777,29.848391,,,,,,
127.322,30.605307,30.254244,29.884821,29.849514,,,,,,
127.686,30.594912,30.261932,29.878483,29.847704,,,,,,
128.053,30.594347,30.251417,29.885614,29.843065,,,,,,
128.416,30.586664,30.241468,29.88335,29.844877,,,,,,
128.765,30.581972,30.241747,29.879557,29.850588,,,,,,
129.115,30.567839,30.23665,29.87921,29.838924,,,,,,
129.471,30.582178,30.232681,29.890627,29.853058,,,,,,
129.833,30.561832,30.221819,29.880888,29.846487,,,,,,
130.193,30.557898,30.22331,29.869028,29.843679,,,,,,
130.554,30.554226,30.236145,29.882549,29.846792,,,,,,
130.902,30.545828,30.216433,29.870293,29.848114,,,,,,
131.267,30.548037,30.218418,29.876352,29.853041,,,,,,
131.621,30.545465,30.215618,29.870836,29.842319,,,,,,
131.982,30.540176,30.200827,29.880474,29.837473,,,,,,
132.332,30.536661,30.201607,29.880804,29.844818,,,,,,
132.688,30.522179,30.208599,29.883047,29.84593,,,,,,
133.05,30.536146,30.20878,29.880739,29.843397,,,,,,
133.414,30.508739,30.196733,29.874342,29.843336,,,,,,
133.778,30.510107,30.199686,29.871412,29.839952,,,,,,
134.142,30.50901,30.196327,29.877558,29.84474,,,,,,
134.506,30.50424,30.200827,29.876854,29.845169,,,,,,
134.854,30.506542,30.192274,29.871464,29.8391,,,,,,
135.204,30.483774,30.173563,29.859077,29.832823,,,,,,
135.563,30.489443,30.197779,29.871994,29.830576,,,,,,
135.925,30.481304,30.1824,29.876295,29.840761,,,,,,
136.273,30.487194,30.183996,29.868385,29.838737,,,,,,
136.637,30.474731,30.178308,29.869032,29.83531,,,,,,
137.001,30.483276,30.180527,29.875326,29.844772,,,,,,
137.363,30.474821,30.167995,29.861881,29.83857,,,,,,
137.722,30.470438,30.167683,29.864962,29.832823,,,,,,
138.081,30.47089,30.174467,29.875145,29.837124,,,,,,
138.429,30.460798,30.156,29.858479,29.831772,,,,,,
138.793,30.448805,30.162771,29.862085,29.831757,,,,,,
139.156,30.449499,30.154873,29.860971,29.835169,,,,,,
139.519,30.438944,30.154715,29.864885,29.825052,,,,,,
139.881,30.445528,30.149767,29.852921,29.819649,,,,,,
140.23,30.436131,30.139912,29.865238,29.825178,,,,,,
140.579,30.436314,30.147106,29.856596,29.826719,,,,,,
140.944,30.438995,30.155897,29.867201,29.828951,,,,,,
141.294,30.420591,30.14472,29.855793,29.815958,,,,,,
141.651,30.422417,30.137726,29.856941,29.822765,,,,,,
142.012,30.415127,30.139254,29.85417,29.813429,,,,,,
142.361,30.424597,30.141491,29.857992,29.810688,,,,,,
142.726,30.410707,30.139809,29.853367,29.822359,,,,,,
143.09,30.40414,30.129618,29.840454,29.81284,,,,,,
143.452,30.409975,30.127539,29.857157,29.819813,,,,,,
143.804,30.404718,30.136755,29.851217,29.834469,,,,,,
144.163,30.404732,30.134054,29.85055,29.825201,,,,,,
144.512,30.392492,30.122486,29.853008,29.816795,,,,,,
144.863,30.403311,30.119967,29.849129,29.818575,,,,,,
145.222,30.381718,30.118944,29.851276,29.807819,,,,,,
145.584,30.395586,30.115856,29.852486,29.817631,,,,,,
145.96,30.393814,30.113405,29.855917,29.820608,,,,,,
146.309,30.380695,30.121088,29.85161,29.819244,,,,,,
146.658,30.384073,30.12266,29.857256,29.818779,,,,,,
147.045,30.377773,30.116354,29.858191,29.820166,,,,,,
147.396,30.367519,30.11537,29.856752,29.82235,,,,,,
147.754,30.36577,30.11249,29.854549,29.815845,,,,,,
148.119,30.364016,30.106211,29.851662,29.827444,,,,,,
148.468,30.364822,30.105207,29.846811,29.820782,,,,,,
148.833,30.36919,30.105505,29.857065,29.819948,,,,,,
149.198,30.368616,30.109907,29.856039,29.815752,,,,,,
149.563,30.357946,30.107601,29.848301,29.813671,,,,,,
149.913,30.362247,30.112131,29.860752,29.826351,,,,,,
150.272,30.353275,30.10112,29.848152,29.817144,,,,,,
150.622,30.355696,30.0963,29.848989,29.821602,,,,,,
150.983,30.352804,30.095898,29.844963,29.819614,,,,,,
151.344,30.340385,30.090033,29.839323,29.815784,,,,,,
151.705,30.356079,30.094875,29.852543,29.822666,,,,,,
152.066,30.340403,30.083942,29.838886,29.808105,,,,,,
152.413,30.344038,30.090519,29.853842,29.818535,,,,,,
152.775,30.339399,30.092438,29.856667,29.81955,,,,,,
153.139,30.338556,30.086391,29.845865,29.819836,,,,,,
153.488,30.329468,30.081144,29.842878,29.812098,,,,,,
153.847,30.317783,30.07692,29.841368,29.81217,,,,,,
154.211,30.332083,30.084665,29.845495,29.820824,,,,,,
154.561,30.326349,30.093634,29.846094,29.809879,,,,,,
154.926,30.322248,30.084326,29.841763,29.810074,,,,,,
155.29,30.31715,30.084204,29.848881,29.812666,,,,,,
155.655,30.323915,30.08577,29.850901,29.814234,,,,,,
156.004,30.324207,30.0795,29.854361,29.827427,,,,,,
156.364,30.314013,30.07835,29.838045,29.820166,,,,,,
156.713,30.309559,30.07955,29.843094,29.81797,,,,,,
157.076,30.302328,30.063267,29.824764,29.793077,,,,,,
157.439,30.306812,30.061871,29.832647,29.802319,,,,,,
157.804,30.320677,30.086376,29.848112,29.826157,,,,,,
158.168,30.306211,30.071676,29.846533,29.815298,,,,,,
