Time,Room Temperature,Forced Fanned,Natural Insulated,Natural Uninsulated,P 5,P 6,P 7,P 8,P 9,P 10
150.692,23.121878,32.409855,34.399303,35.544518,,,,,,
151.054,23.139372,32.403786,34.39164,35.540428,,,,,,
151.417,23.137205,32.390194,34.390385,35.530258,,,,,,
151.778,23.134569,32.392048,34.379383,35.532642,,,,,,
152.143,23.147734,32.391518,34.386353,35.528904,,,,,,
152.498,23.162239,32.393215,34.380192,35.52792,,,,,,
152.858,23.161263,32.382767,34.379761,35.52874,,,,,,
153.21,23.171431,32.377121,34.373764,35.5322,,,,,,
153.576,23.181021,32.386101,34.373444,35.534378,,,,,,
153.956,23.168207,32.377857,34.372356,35.520092,,,,,,
154.321,23.188622,32.378979,34.365265,35.516754,,,,,,
154.681,23.188568,32.363186,34.372353,35.514381,,,,,,
155.042,23.185472,32.370667,34.360538,35.511673,,,,,,
155.405,23.195839,32.372906,34.363308,35.517651,,,,,,
155.756,23.199127,32.368301,34.357998,35.513058,,,,,,
156.115,23.195145,32.368641,34.362083,35.512684,,,,,,
156.48,23.200029,32.362041,34.354069,35.51181,,,,,,
156.863,23.19556,32.359932,34.342503,35.501682,,,,,,
157.216,23.195425,32.352646,34.354328,35.506004,,,,,,
157.578,23.194431,32.352016,34.353344,35.507698,,,,,,
157.943,23.185595,32.357555,34.345661,35.50127,,,,,,
158.298,23.174631,32.348286,34.347298,35.499519,,,,,,
158.66,23.178679,32.34354,34.342739,35.501919,,,,,,
159.024,23.172817,32.337189,34.347645,35.491661,,,,,,
